section,symbol_type,symbol,size_bytes,vma,runtime_region,lma,load_region
.text,FUNC,tmos_stop_callback_task,122,0x00002E14,?,0x00002E14,?
.text,FUNC,tmos_bm_adjust_header,48,0x0000276A,?,0x0000276A,?
.text,FUNC,LL_StartEncRsp,26,0x0000CDAC,?,0x0000CDAC,?
.text,FUNC,GAPBondMgr_Erase,268,0x00010838,?,0x00010838,?
.text,FUNC,Lib_Read_Flash,24,0x0000129C,?,0x0000129C,?
.text,FUNC,l2capHandleRxError,2,0x00007FFA,?,0x00007FFA,?
.text,FUNC,GET_WakeUpLSIMaxTime,186,0x00001622,?,0x00001622,?
.highcode,FUNC,tmos_memcpy,44,0x200004D4,?,0x000004D8,?
.text,FUNC,GATTServApp_WriteAttr,164,0x00006632,?,0x00006632,?
.text,FUNC,gattServApp_FindServiceCBs,24,0x00006212,?,0x00006212,?
.text,FUNC,l2capNotifySignal,138,0x000084EE,?,0x000084EE,?
.data,OBJECT,_impure_data,76,0x20001120,?,0x0001653C,?
.bss,OBJECT,gBleIPPara,24,0x20002430,?,-,-
.text,FUNC,gattFindServerInfo,32,0x00006394,?,0x00006394,?
.text,FUNC,smGenerateConfirm,50,0x00009C1C,?,0x00009C1C,?
.text,FUNC,GAP_EndDiscoverable,92,0x0000552C,?,0x0000552C,?
.text,FUNC,SYS_GetSysTickCnt,8,0x00001B1A,?,0x00001B1A,?
.text,FUNC,LL_AddrInit,156,0x0000B14C,?,0x0000B14C,?
.text,FUNC,ATT_ExecuteWriteRsp,12,0x00003F46,?,0x00003F46,?
.text,FUNC,_read,12,0x000145B6,?,0x000145B6,?
.text,FUNC,GAPBondMgr_ProcessGAPMsg,916,0x00011014,?,0x00011014,?
.text,FUNC,LL_CoreGetRxDataList,24,0x0000C292,?,0x0000C292,?
.text,FUNC,LL_FeatureRsp,82,0x0000CDE2,?,0x0000CDE2,?
.text,FUNC,ATT_UpdateMTU,60,0x000039CA,?,0x000039CA,?
.text,FUNC,smGenerateRandBuf,88,0x0000408E,?,0x0000408E,?
.text,FUNC,LL_HopGetChannels,76,0x0000C422,?,0x0000C422,?
.text,FUNC,sm_c1new,290,0x0000A64E,?,0x0000A64E,?
.text,FUNC,ATT_ParseFindInfoReq,30,0x00003BFA,?,0x00003BFA,?
.text,FUNC,SM_ResolveRandomAddrs,132,0x000096A4,?,0x000096A4,?
.text,FUNC,LL_CoreGetTxDataList,52,0x0000C2AA,?,0x0000C2AA,?
